,R1
2261.0,10
2087.0,10
1169.0,10
3201.0,10
2759.0,10
2267.0,10
2135.0,10
2369.0,10
2180.0,10
2638.0,10
2673.0,10
3145.0,10
2043.0,10
1032.0,10
811.0,10
1181.0,10
1722.0,10
1113.0,10
3019.0,10
1388.0,10
2868.0,10
3284.0,10
3268.0,10
1044.0,10
1302.0,10
2374.0,10
1442.0,10
2164.0,10
2478.0,10
3238.0,10
1496.0,10
2603.0,10
2390.0,10
2228.0,10
2520.0,10
2805.0,10
1104.0,10
2069.0,10
2621.0,10
2019.0,10
1127.0,10
2122.0,10
1940.0,10
2730.0,10
2154.0,10
2625.0,10
1715.0,10
2971.0,10
1781.0,10
2265.0,10
1084.0,10
1448.0,10
2501.0,10
3233.0,10
2476.0,10
2192.0,10
851.0,10
3125.0,10
3257.0,10
2409.0,10
1952.0,10
2133.0,10
2894.0,10
2546.0,10
3185.0,10
2778.0,10
1993.0,10
2345.0,10
1319.0,10
2245.0,10
2750.0,10
657.0,10
2935.0,10
2582.0,10
3164.0,10
1083.0,10
2951.0,10
3315.0,10
2129.0,10
3173.0,10
2659.0,10
828.0,10
2872.0,10
2973.0,10
2097.0,10
3133.0,10
2160.0,10
2884.0,10
1173.0,10
1885.0,10
2292.0,10
2272.0,10
1045.0,10
2379.0,10
2920.0,10
2657.0,10
1193.0,10
1266.0,10
1160.0,10
3009.0,10
1498.0,10
1944.0,10
2047.0,10
2913.0,10
2511.0,10
3264.0,10
1789.0,10
1858.0,10
2767.0,10
2907.0,10
3390.0,10
2321.0,10
3152.0,10
2570.0,10
2362.0,10
2737.0,10
2104.0,10
2084.0,10
2404.0,10
2975.0,10
3208.0,10
2196.0,10
2169.0,10
2471.0,10
2119.0,10
1103.0,10
2296.0,10
1158.0,10
3212.0,10
2661.0,10
2152.0,10
2206.0,10
2312.0,10
2932.0,10
1995.0,10
2075.0,10
1055.0,10
2773.0,10
2961.0,10
2488.0,10
2751.0,10
2904.0,10
3205.0,10
3029.0,10
2794.0,10
1938.0,10
3112.0,10
2161.0,10
1406.0,10
3049.0,10
2451.0,10
1209.0,10
2274.0,10
2976.0,10
2508.0,10
3073.0,10
1864.0,10
2279.0,10
3128.0,10
3242.0,10
2498.0,10
1195.0,10
1154.0,10
3556.0,10
769.0,10
2974.0,10
2456.0,10
2893.0,10
2015.0,10
2943.0,10
687.0,10
3050.0,10
1942.0,10
1779.0,10
2437.0,10
2924.0,10
2966.0,10
3245.0,10
1020.0,10
2208.0,10
792.0,10
2226.0,10
2415.0,10
2682.0,10
2059.0,10
3207.0,10
2892.0,9
2962.0,9
1307.0,9
1899.0,9
3426.0,9
1137.0,9
1231.0,9
1570.0,9
