status_code,t,status,l
2,2019-03-17T17:02:09.000Z,Registered,2019-03-19T16:46:22.874Z
1,2019-03-19T01:40:49.000Z,TF,2019-03-19T01:40:49.000Z
2,2019-03-19T01:40:49.000Z,Registered,2019-03-21T01:46:05.214Z
1,2019-03-21T01:52:00.000Z,TF,2019-03-21T01:52:00.000Z
2,2019-03-21T02:24:56.000Z,Registered,2019-03-23T08:47:29.862Z
1,2019-03-23T03:25:59.000Z,TF,2019-03-23T03:25:59.000Z
2,2019-03-23T03:25:59.000Z,Registered,2019-03-24T17:49:57.426Z
1,2019-03-24T17:01:39.000Z,TF,2019-03-24T17:01:39.000Z
2,2019-03-24T17:01:39.000Z,Registered,2019-03-26T01:46:42.840Z
1,2019-03-26T01:50:40.000Z,TF,2019-03-26T01:50:40.000Z
2,2019-03-26T01:50:40.000Z,Registered,2019-04-06T09:46:07.302Z
1,2019-04-06T01:26:29.000Z,TF,2019-04-06T01:26:29.000Z
2,2019-04-06T01:26:29.000Z,Registered,2019-04-06T22:48:49.274Z
1,2019-04-06T21:00:15.000Z,TF,2019-04-06T21:00:15.000Z
2,2019-04-07T00:51:07.000Z,Registered,2019-04-15T19:45:35.704Z
1,2019-04-15T00:29:07.000Z,TF,2019-04-15T00:29:07.000Z
2,2019-04-15T00:29:07.000Z,Registered,2019-04-16T22:46:22.015Z
1,2019-04-16T21:00:58.000Z,TF,2019-04-17T00:49:45.924Z
2,2019-04-17T00:50:20.000Z,Registered,2019-04-20T19:46:17.651Z
1,2019-04-20T01:24:42.000Z,TF,2019-04-20T01:24:42.000Z
2,2019-04-20T01:24:42.000Z,Registered,2019-04-26T19:46:51.434Z
2,2019-04-26T14:49:45.000Z,Registered,2019-04-28T14:48:38.175Z
1,2019-04-26T14:49:45.000Z,TF,2019-04-26T14:49:45.000Z
2,2019-04-28T00:37:28.000Z,Registered,2019-04-28T00:37:28.000Z
1,2019-04-28T00:37:28.000Z,TF,2019-04-28T00:37:28.000Z
2,2019-04-28T16:01:59.000Z,Registered,2019-05-10T14:48:01.510Z
1,2019-04-28T16:01:59.000Z,TF,2019-04-28T16:01:59.000Z
1,2019-05-10T01:18:04.000Z,TF,2019-05-10T01:18:04.000Z
2,2019-05-10T01:18:04.000Z,Registered,2019-05-12T16:49:33.533Z
1,2019-05-12T16:01:38.000Z,TF,2019-05-12T16:01:38.000Z
2,2019-05-12T17:17:59.000Z,Registered,2019-05-12T21:53:28.938Z
